Family	Hotel	Park	Day
Smith	Tusk Hotel	Jumbo Kingdom	Friday
Smith	Tusk Hotel	Jumbo Kingdom	Saturday
Smith	Tusk Hotel	World's Fair	Sunday
Johnson	Mammoth Motel	Jumbo Studios	Friday
Johnson	Mammoth Motel	Jumbo Kingdom	Saturday
Johnson	Mammoth Motel	Jumbo Kingdom	Sunday
Williams	Mammoth Motel	Animal Planet Zoo	Friday
Williams	Mammoth Motel	Trunk Water Park	Saturday
Williams	Mammoth Motel	Jumbo Kingdom	Sunday
Jones	Elephant Lodge	Jumbo Studios	Friday
Jones	Elephant Lodge	Jumbo Kingdom	Saturday
Jones	Elephant Lodge	Jumbo Kingdom	Sunday
Brown	Trunk Inn	Jumbo Kingdom	Friday
Brown	Trunk Inn	Animal Planet Zoo	Saturday
Brown	Trunk Inn	World's Fair	Sunday
Davis	Trunk Inn	Jumbo Kingdom	Friday
Davis	Trunk Inn	Jumbo Kingdom	Saturday
Davis	Trunk Inn	Trunk Water Park	Sunday
Miller	Loxodon Lodge	Jumbo Studios	Friday
Miller	Loxodon Lodge	Trunk Water Park	Saturday
Miller	Loxodon Lodge	World's Fair	Sunday
Wilson	Pachyderm Suites	Jumbo Studios	Friday
Wilson	Pachyderm Suites	World's Fair	Saturday
Wilson	Pachyderm Suites	Jumbo Kingdom	Sunday
Moore	Loxodon Lodge	Animal Planet Zoo	Friday
Moore	Loxodon Lodge	Animal Planet Zoo	Saturday
Moore	Loxodon Lodge	Jumbo Golf Course	Sunday
Taylor	Mouse Resort	Jumbo Kingdom	Friday
Taylor	Mouse Resort	Jumbo Studios	Saturday
Taylor	Mouse Resort	Animal Planet Zoo	Sunday
Anderson	Tusk Hotel	Jumbo Kingdom	Friday
Anderson	Tusk Hotel	Jumbo Kingdom	Saturday
Anderson	Tusk Hotel	Jumbo Studios	Sunday
Thomas	Mouse Resort	Animal Planet Zoo	Friday
Thomas	Mouse Resort	Jumbo Golf Course	Saturday
Thomas	Mouse Resort	Jumbo Kingdom	Sunday
Jackson	Oliphant Camp	Jumbo Studios	Friday
Jackson	Oliphant Camp	World's Fair	Saturday
Jackson	Oliphant Camp	Trunk Water Park	Sunday
White	Loxodon Lodge	World's Fair	Friday
White	Loxodon Lodge	Jumbo Kingdom	Saturday
White	Loxodon Lodge	Jumbo Studios	Sunday
Harris	Mouse Resort	Jumbo Kingdom	Friday
Harris	Mouse Resort	Jumbo Golf Course	Saturday
Harris	Mouse Resort	World's Fair	Sunday
Martin	Mammoth Motel	World's Fair	Friday
Martin	Mammoth Motel	Trunk Water Park	Saturday
Martin	Mammoth Motel	Jumbo Studios	Sunday
Thompson	Oliphant Camp	World's Fair	Friday
Thompson	Oliphant Camp	Jumbo Studios	Saturday
Thompson	Oliphant Camp	Trunk Water Park	Sunday
Garcia	Trunk Inn	Jumbo Kingdom	Friday
Garcia	Trunk Inn	Jumbo Kingdom	Saturday
Garcia	Trunk Inn	Jumbo Kingdom	Sunday
Martinez	Tusk Hotel	World's Fair	Friday
Martinez	Tusk Hotel	Jumbo Golf Course	Saturday
Martinez	Tusk Hotel	Jumbo Kingdom	Sunday
Robinson	Trunk Inn	Jumbo Kingdom	Friday
Robinson	Trunk Inn	Jumbo Kingdom	Saturday
Robinson	Trunk Inn	Jumbo Kingdom	Sunday
Clark	Mammoth Motel	World's Fair	Friday
Clark	Mammoth Motel	Jumbo Kingdom	Saturday
Clark	Mammoth Motel	Jumbo Studios	Sunday
Rodriguez	Tusk Hotel	Jumbo Studios	Friday
Rodriguez	Tusk Hotel	World's Fair	Saturday
Rodriguez	Tusk Hotel	Jumbo Kingdom	Sunday
Lewis	Elephant Lodge	World's Fair	Friday
Lewis	Elephant Lodge	Animal Planet Zoo	Saturday
Lewis	Elephant Lodge	Jumbo Studios	Sunday
Lee	Tusk Hotel	Jumbo Kingdom	Friday
Lee	Tusk Hotel	World's Fair	Saturday
Lee	Tusk Hotel	Animal Planet Zoo	Sunday
Walker	Mammoth Motel	Jumbo Golf Course	Friday
Walker	Mammoth Motel	World's Fair	Saturday
Walker	Mammoth Motel	Jumbo Studios	Sunday
Hall	Trunk Inn	Jumbo Kingdom	Friday
Hall	Trunk Inn	Jumbo Studios	Saturday
Hall	Trunk Inn	Jumbo Studios	Sunday
Allen	Trunk Inn	Jumbo Kingdom	Friday
Allen	Trunk Inn	Jumbo Studios	Saturday
Allen	Trunk Inn	Trunk Water Park	Sunday
Young	Tusk Hotel	World's Fair	Friday
Young	Tusk Hotel	Jumbo Studios	Saturday
Young	Tusk Hotel	Jumbo Kingdom	Sunday
Hernandez	Tusk Hotel	Jumbo Kingdom	Friday
Hernandez	Tusk Hotel	Jumbo Studios	Saturday
Hernandez	Tusk Hotel	World's Fair	Sunday
King	Tusk Hotel	Jumbo Kingdom	Friday
King	Tusk Hotel	Jumbo Kingdom	Saturday
King	Tusk Hotel	Jumbo Kingdom	Sunday
Wright	Mouse Resort	Animal Planet Zoo	Friday
Wright	Mouse Resort	Jumbo Studios	Saturday
Wright	Mouse Resort	World's Fair	Sunday
