,Jumbo Kingdom,World's Fair,Jumbo Studios,Animal Planet Zoo,Jumbo Golf Course,Trunk Water Park
Smith,1,1,0,0,0,0
Johnson,1,0,1,0,0,0
Williams,1,0,0,1,0,1
Jones,1,0,1,0,0,0
Brown,1,1,0,1,0,0
Davis,1,0,0,0,0,1
Miller,0,1,1,0,0,1
Wilson,1,1,1,0,0,0
Moore,0,0,0,1,1,0
Taylor,1,0,1,1,0,0
Anderson,1,0,1,0,0,0
Thomas,1,0,0,1,1,0
Jackson,0,1,1,0,0,1
White,1,1,1,0,0,0
Harris,1,1,0,0,1,0
Martin,0,1,1,0,0,1
Thompson,0,1,1,0,0,1
Garcia,1,0,0,0,0,0
Martinez,1,1,0,0,1,0
Robinson,1,0,0,0,0,0
Clark,1,1,1,0,0,0
Rodriguez,1,1,1,0,0,0
Lewis,0,1,1,1,0,0
Lee,1,1,0,1,0,0
Walker,0,1,1,0,1,0
Hall,1,0,1,0,0,0
Allen,1,0,1,0,0,1
Young,1,1,1,0,0,0
Hernandez,1,1,1,0,0,0
King,1,0,0,0,0,0
Wright,0,1,1,1,0,0
Lopez,0,1,1,0,1,0
Hill,1,0,1,0,0,1
Scott,1,1,0,1,0,0
Green,1,1,1,0,0,0
Adams,1,1,1,0,0,0
Baker,1,0,0,1,0,1
Gonzalez,0,1,0,1,0,0
Nelson,1,1,0,0,0,0
Carter,1,1,1,0,0,0
Mitchell,1,0,0,0,0,0
Perez,0,0,1,0,1,0
Roberts,1,0,1,0,1,0
Turner,0,1,1,0,1,0
Phillips,1,0,0,1,0,1
Campbell,0,0,1,1,0,1
Parker,1,0,0,0,1,1
Evans,0,1,0,0,1,1
Edwards,1,0,0,1,0,1
Collins,1,0,1,1,0,0
Stewart,1,1,1,0,0,0
Sanchez,1,1,0,1,0,0
Morris,0,0,1,1,0,1
Rogers,0,1,0,0,1,0
Reed,1,1,0,0,0,1
Cook,0,1,1,0,0,1
Morgan,0,0,1,1,0,0
Bell,1,1,1,0,0,0
Murphy,1,1,0,0,0,1
Bailey,1,0,0,1,0,1
Rivera,1,1,0,0,0,0
Cooper,1,1,0,0,0,0
Richardson,1,1,1,0,0,0
Cox,1,1,1,0,0,0
Howard,1,1,0,1,0,0
Ward,1,1,1,0,0,0
Torres,1,0,1,0,0,0
Peterson,0,1,0,0,1,0
Gray,0,0,1,1,0,1
Ramirez,1,1,0,1,0,0
James,0,1,1,0,1,0
Watson,0,0,1,0,1,0
Brooks,0,1,1,0,0,1
Kelly,1,0,0,0,0,1
Sanders,1,0,0,1,0,0
Price,1,0,1,0,1,0
Bennett,0,0,1,0,0,0
Wood,0,1,1,0,1,0
Barnes,1,1,1,0,0,0
Ross,1,0,0,1,0,1
Henderson,1,0,1,1,0,0
Coleman,1,0,1,1,0,0
Jenkins,0,1,1,0,1,0
Perry,1,1,0,0,0,0
Powell,1,1,1,0,0,0
Long,0,1,1,0,0,0
Patterson,0,1,1,0,0,0
Hughes,0,1,1,0,0,1
Flores,1,1,1,0,0,0
Washington,0,1,1,1,0,0
Butler,1,1,1,0,0,0
Simmons,0,0,1,1,0,1
Foster,1,0,1,0,1,0
Gonzales,1,1,1,0,0,0
Bryant,1,1,1,0,0,0
Alexander,0,1,1,0,0,1
Russell,1,0,0,1,0,0
Griffin,1,0,1,0,1,0
Diaz,1,0,0,1,0,1
Hayes,1,0,1,0,1,0
Myers,1,0,1,0,0,0
Ford,0,1,0,0,1,0
Hamilton,0,1,0,0,1,1
Graham,1,0,1,1,0,0
Sullivan,1,1,0,0,0,0
Wallace,1,1,1,0,0,0
Woods,0,1,1,0,1,0
Cole,1,0,0,0,0,1
West,0,1,1,0,1,0
Jordan,1,0,1,0,0,0
Owens,1,1,0,1,0,0
Reynolds,1,1,0,0,0,1
Fisher,0,1,0,1,0,1
Ellis,0,0,1,1,0,1
Harrison,0,0,1,1,0,0
Gibson,1,0,0,1,0,0
Mcdonald,1,0,0,1,1,0
Cruz,0,1,1,1,0,0
Marshall,1,1,1,0,0,0
Ortiz,1,1,0,1,0,0
Gomez,0,1,1,0,1,0
Murray,0,0,1,1,1,0
Freeman,0,1,1,0,0,0
Wells,1,0,0,1,0,0
Webb,1,1,1,0,0,0
Simpson,1,0,1,0,0,0
Stevens,1,0,1,0,0,0
Tucker,1,1,1,0,0,0
Porter,1,1,0,0,0,0
Hunter,1,1,0,0,0,1
Hicks,1,1,0,0,0,1
Crawford,1,1,0,1,0,0
Henry,0,1,1,0,1,0
Boyd,1,1,1,0,0,0
Mason,1,0,1,0,0,0
Morales,1,1,1,0,0,0
Kennedy,0,1,0,0,1,1
Warren,1,1,0,1,0,0
Dixon,1,1,0,0,0,1
Ramos,1,0,1,0,0,0
Reyes,1,0,1,0,1,0
Burns,0,0,1,0,1,0
Gordon,0,1,0,0,1,0
Shaw,1,0,1,0,0,1
Holmes,0,1,0,1,0,1
Rice,0,1,1,0,0,1
Robertson,1,1,1,0,0,0
Hunt,1,0,0,1,0,1
Black,1,1,1,0,0,0
Daniels,1,1,0,0,0,1
Palmer,1,1,1,0,0,0
Mills,1,0,1,0,0,0
Nichols,1,0,1,0,1,0
Grant,1,1,1,0,0,0
Knight,1,0,1,1,0,0
Ferguson,0,1,1,0,0,1
Rose,1,0,1,0,1,0
Stone,0,1,1,0,0,0
Hawkins,1,1,1,0,0,0
Dunn,1,1,0,0,1,0
Perkins,0,1,0,0,1,0
Hudson,1,0,1,0,1,0
Spencer,1,0,1,0,0,0
Gardner,1,1,0,1,0,0
Stephens,0,1,1,0,0,0
Payne,1,0,1,1,0,0
Pierce,1,0,0,0,1,1
Berry,0,0,0,0,0,1
Matthews,1,1,0,0,0,1
Arnold,0,1,0,0,0,1
Wagner,0,0,0,1,0,0
Willis,1,1,1,0,0,0
Ray,1,1,1,0,0,0
Watkins,0,1,1,1,0,0
Olson,1,1,1,0,0,0
Carroll,0,1,1,0,0,1
Duncan,0,1,1,0,0,0
Snyder,1,1,1,0,0,0
Hart,1,0,1,0,0,0
Cunningham,1,1,0,0,1,0
Bradley,1,1,1,0,0,0
Lane,1,1,0,0,0,0
Andrews,1,0,1,0,0,1
Ruiz,1,0,1,0,1,0
Harper,1,1,0,0,1,0
Fox,1,0,1,0,0,0
Riley,1,1,0,1,0,0
Armstrong,0,1,1,0,0,0
Carpenter,1,1,1,0,0,0
Weaver,0,1,0,1,0,1
Greene,1,1,1,0,0,0
Lawrence,1,1,1,0,0,0
Elliott,1,0,0,0,1,1
Chavez,1,0,1,0,1,0
Sims,1,1,1,0,0,0
Austin,0,1,0,0,1,0
Peters,1,1,0,0,0,1
Kelley,1,1,0,1,0,0
Franklin,1,0,1,0,1,0
Lawson,1,1,1,0,0,0
Fields,0,1,1,0,0,0
Gutierrez,0,1,1,0,1,0
Ryan,0,1,1,0,0,1
Schmidt,1,1,0,0,1,0
Carr,1,1,0,0,0,0
Vasquez,1,1,0,0,0,0
Castillo,1,0,1,1,0,0
Wheeler,0,1,1,0,1,0
Chapman,1,0,1,0,0,0
Oliver,0,0,0,1,1,0
Montgomery,0,0,0,0,0,1
Richards,1,1,0,0,0,1
Williamson,1,1,0,1,0,0
Johnston,1,0,1,0,0,0
Banks,1,0,0,1,0,0
Meyer,0,0,1,0,0,1
Bishop,0,0,1,1,0,1
Mccoy,1,1,1,0,0,0
Howell,1,0,0,1,0,0
Alvarez,1,0,1,0,0,1
Morrison,1,1,0,0,0,0
Hansen,1,1,0,0,0,0
Fernandez,0,1,0,0,0,1
Garza,1,1,0,1,0,0
Harvey,1,1,1,0,0,0
Little,1,0,1,1,0,0
Burton,1,1,0,0,0,0
Stanley,1,1,0,0,0,1
Nguyen,1,1,0,1,0,0
George,0,1,1,0,0,1
Jacobs,1,1,1,0,0,0
Reid,0,0,1,0,1,1
Kim,1,1,1,0,0,0
Fuller,1,1,0,1,0,0
Lynch,0,1,0,1,1,0
Dean,0,1,0,1,0,0
Gilbert,1,1,0,0,0,0
Garrett,0,1,1,0,0,1
Romero,1,0,0,0,0,1
Welch,0,1,1,1,0,0
Larson,1,1,0,0,1,0
Frazier,0,1,0,0,1,1
Burke,1,1,1,0,0,0
Hanson,1,1,0,0,1,0
Day,1,0,1,1,0,0
Mendoza,0,0,1,0,0,0
Moreno,1,1,1,0,0,0
Bowman,1,0,0,1,0,1
Medina,0,0,1,1,0,1
Fowler,1,0,1,1,0,0
Brewer,1,1,0,0,1,0
Hoffman,0,1,1,0,1,0
Carlson,1,1,1,0,0,0
Silva,1,1,1,0,0,0
Pearson,1,0,1,0,0,1
Holland,0,1,1,1,0,0
Douglas,0,1,1,1,0,0
Fleming,0,1,1,0,1,0
Jensen,1,1,0,0,0,0
Vargas,1,1,0,1,0,0
Byrd,1,0,1,0,0,0
Davidson,1,1,0,0,0,1
Hopkins,1,1,1,0,0,0
May,0,0,1,0,0,1
Terry,1,0,1,0,0,0
Herrera,1,0,1,0,0,0
Wade,1,1,0,0,0,1
Soto,1,1,0,0,1,0
Walters,1,0,1,0,0,1
Curtis,1,1,0,0,1,0
Neal,1,1,0,0,0,0
Caldwell,1,0,1,1,0,0
Lowe,1,0,0,0,1,0
Jennings,1,1,0,0,0,1
Barnett,0,0,1,1,0,1
Graves,1,1,1,0,0,0
Jimenez,1,1,0,1,0,0
Horton,1,1,0,0,1,0
Shelton,1,0,0,0,1,0
Barrett,0,0,1,0,0,1
Obrien,1,1,0,0,1,0
Castro,0,1,0,1,0,0
Sutton,1,1,0,1,0,0
Gregory,0,1,0,1,1,0
Mckinney,1,0,1,1,0,0
Lucas,1,1,0,0,0,1
Miles,0,1,0,0,1,0
Craig,1,0,0,0,0,1
Rodriquez,0,0,0,1,0,1
Chambers,0,0,0,1,0,0
Holt,1,0,0,1,1,0
Lambert,1,0,0,1,0,1
Fletcher,0,1,1,0,1,0
Watts,1,1,1,0,0,0
Bates,0,1,0,1,0,0
Hale,1,1,0,0,1,0
Rhodes,0,1,1,0,1,0
Pena,1,0,1,0,0,1
Beck,1,0,1,0,1,0
Newman,1,1,1,0,0,0
Haynes,1,1,0,0,1,0
Mcdaniel,0,0,1,0,0,1
Mendez,1,1,1,0,0,0
Bush,1,0,1,0,0,0
Vaughn,1,1,0,1,0,0
Parks,1,0,1,1,0,0
Dawson,1,0,1,0,0,0
Santiago,1,0,1,1,0,0
Norris,1,0,0,1,0,0
Hardy,1,1,1,0,0,0
Love,1,0,1,0,0,1
Steele,1,1,0,0,0,0
Curry,1,1,0,0,0,1
Powers,1,1,1,0,0,0
Schultz,0,1,0,0,0,0
Barker,0,1,1,0,0,0
Guzman,1,0,0,1,1,0
Page,0,1,1,0,1,0
Munoz,1,0,1,0,0,1
Ball,1,0,1,1,0,0
Keller,1,0,1,0,0,0
Chandler,1,1,0,1,0,0
Weber,1,1,1,0,0,0
Leonard,1,1,1,0,0,0
Walsh,1,1,0,1,0,0
Lyons,1,0,0,0,0,0
Ramsey,1,1,0,1,0,0
Wolfe,0,1,0,0,0,1
Schneider,0,1,0,0,1,1
Mullins,1,0,1,1,0,0
Benson,1,1,1,0,0,0
Sharp,1,0,1,0,0,1
Bowen,1,1,1,0,0,0
Daniel,0,0,1,0,0,1
Barber,1,0,0,0,1,0
Cummings,0,1,1,0,0,1
Hines,1,0,1,1,0,0
Baldwin,1,1,1,0,0,0
Griffith,1,1,0,0,0,0
Valdez,1,0,1,0,0,1
Hubbard,1,1,0,1,0,0
Salazar,0,0,1,1,1,0
Reeves,0,0,1,1,0,1
Warner,1,0,1,0,0,1
Stevenson,1,0,0,1,0,0
Burgess,1,1,0,0,0,0
Santos,1,1,0,0,0,0
Tate,1,0,0,1,1,0
Cross,0,1,1,0,0,0
Garner,0,0,1,1,0,1
Mann,0,1,1,0,0,0
Mack,0,1,1,1,0,0
Moss,1,1,1,0,0,0
Thornton,1,0,1,0,0,1
Dennis,1,0,0,0,1,0
Mcgee,0,0,1,1,0,0
Farmer,1,0,0,1,0,0
Delgado,1,0,1,1,0,0
Aguilar,1,1,1,0,0,0
Vega,1,1,0,0,0,1
Glover,1,0,0,1,0,0
Manning,1,0,1,0,0,1
Cohen,1,0,1,0,1,0
Harmon,1,0,1,0,0,0
Rodgers,1,0,1,1,0,0
Robbins,1,1,0,0,0,0
Newton,1,1,1,0,0,0
Todd,0,1,1,0,0,1
Blair,1,0,0,0,1,0
Higgins,1,1,0,0,0,0
Ingram,0,1,1,1,0,0
Reese,1,0,0,1,0,1
Cannon,0,1,0,1,0,1
Strickland,1,0,1,0,0,0
Townsend,0,1,1,0,0,1
Potter,1,0,0,1,0,0
Goodwin,1,0,0,1,0,1
Walton,1,1,0,0,0,1
Rowe,0,0,1,1,0,1
Hampton,0,1,0,1,0,1
Ortega,1,1,0,1,0,0
Patton,0,1,1,0,0,0
Swanson,1,0,1,0,0,1
Joseph,0,0,1,0,0,1
Francis,1,1,1,0,0,0
Goodman,1,0,1,0,1,0
Maldonado,1,0,0,0,0,1
Yates,0,1,1,0,0,1
Becker,1,0,0,0,0,1
Erickson,1,1,0,0,0,1
Hodges,1,1,1,0,0,0
Rios,1,1,0,1,0,0
Conner,0,1,0,1,1,0
Adkins,0,1,1,0,0,1
Webster,0,0,1,0,1,0
Norman,1,1,1,0,0,0
Malone,0,1,1,0,0,0
Hammond,1,1,0,1,0,0
Flowers,0,1,1,0,1,0
Cobb,0,1,1,1,0,0
Moody,1,1,0,1,0,0
Quinn,0,1,1,0,0,0
Blake,1,1,0,0,0,1
Maxwell,0,0,1,0,0,1
Pope,1,0,0,1,0,1
Floyd,1,0,0,0,0,1
Osborne,1,0,1,0,0,1
Paul,1,1,0,1,0,0
Mccarthy,1,0,0,1,0,0
Guerrero,1,1,1,0,0,0
Lindsey,1,1,0,1,0,0
Estrada,1,1,1,0,0,0
Sandoval,1,0,0,0,0,1
Gibbs,1,1,0,0,1,0
Tyler,1,1,1,0,0,0
Gross,0,1,0,0,0,0
Fitzgerald,1,0,0,0,0,1
Stokes,0,0,1,0,1,1
Doyle,1,0,1,1,0,0
Sherman,0,0,1,1,0,1
Saunders,1,1,0,0,0,0
Wise,1,1,1,0,0,0
Colon,0,1,1,0,0,0
Gill,1,0,1,1,0,0
Alvarado,1,0,0,1,0,0
Greer,0,0,0,1,1,1
Padilla,1,0,0,1,0,1
Simon,1,0,0,1,0,1
Waters,1,0,1,0,1,0
Nunez,0,0,0,1,1,0
Ballard,1,1,0,1,0,0
Schwartz,1,0,1,0,1,0
Mcbride,0,1,1,1,0,0
Houston,1,0,0,1,1,0
Christensen,1,1,1,0,0,0
Klein,1,0,1,0,0,1
Pratt,1,1,1,0,0,0
Briggs,0,1,0,0,0,1
Parsons,1,0,1,1,0,0
Mclaughlin,0,1,1,1,0,0
Zimmerman,0,1,1,1,0,0
French,1,0,1,1,0,0
Buchanan,0,1,0,1,1,0
Moran,1,0,0,1,0,1
Copeland,1,1,1,0,0,0
Roy,1,0,1,0,1,0
Pittman,1,0,1,0,0,1
Brady,0,1,1,0,0,0
Mccormick,0,0,1,1,0,1
Holloway,0,1,0,0,1,1
Brock,1,1,0,1,0,0
Poole,1,0,1,1,0,0
Frank,0,0,0,1,1,0
Logan,0,1,0,0,0,1
Owen,0,1,1,0,1,0
Bass,1,0,0,0,0,1
Marsh,1,0,1,0,0,1
Drake,0,0,1,0,1,0
Wong,1,0,1,0,0,1
Jefferson,1,0,0,0,1,0
Park,0,1,1,1,0,0
Morton,0,1,1,0,0,0
Abbott,0,0,1,0,0,0
Sparks,0,1,0,1,0,0
Patrick,1,0,0,0,0,0
Norton,1,1,0,0,0,1
Huff,0,0,1,1,0,0
Clayton,0,0,1,1,0,0
Massey,1,1,0,1,0,0
Lloyd,1,1,0,0,1,0
Figueroa,0,1,1,0,0,0
Carson,1,1,0,0,0,1
Bowers,0,1,0,0,1,0
Roberson,0,1,1,0,0,1
Barton,1,1,0,0,0,0
Tran,1,0,0,0,1,0
Lamb,1,1,0,0,0,0
Harrington,1,1,1,0,0,0
Casey,1,1,0,0,0,0
Boone,0,1,1,1,0,0
Cortez,0,1,1,0,0,0
Clarke,0,0,1,0,0,0
Mathis,1,1,0,0,0,0
Singleton,0,1,1,0,0,1
Wilkins,1,1,1,0,0,0
Cain,0,1,1,0,0,1
Bryan,0,1,0,0,1,0
